,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
0,1,Houston,B12,12-0,+32.30,116.8,84.5,65.9,+.046,-0.40,104.9,105.3,-0.40
1,2,Purdue,B10,11-1,+30.39,122.9,92.5,70.4,+.064,+11.67,111.0,99.4,+11.27
2,3,Arizona,P12,9-2,+29.85,119.1,89.2,75.0,-.033,+9.75,111.1,101.3,+9.75
3,4,BYU,B12,11-1,+26.12,118.3,92.2,70.0,-.027,-4.50,101.8,106.3,-4.50
4,5,Connecticut,BE,11-2,+25.36,120.1,94.8,65.4,-.003,+1.05,105.0,103.9,-2.59
5,6,Tennessee,SEC,9-3,+24.10,114.2,90.1,69.8,-.053,+8.85,109.3,100.4,+8.85
6,7,Duke,ACC,8-3,+23.22,118.7,95.4,68.9,-.112,+3.20,105.4,102.2,+2.12
7,8,Alabama,SEC,7-5,+23.14,123.5,100.3,73.2,-.148,+9.02,110.0,101.0,+9.02
8,9,Illinois,B10,9-2,+23.11,116.0,92.9,72.2,-.068,+1.58,103.9,102.3,-0.30
9,10,Auburn,SEC,9-2,+23.02,116.8,93.8,71.6,-.097,+1.71,104.7,103.0,+1.71
10,11,Florida Atlantic,Amer,10-2,+22.99,118.8,95.8,69.3,+.032,+7.45,108.6,101.1,+7.45
11,12,Iowa St.,B12,10-2,+22.41,112.9,90.5,71.8,-.065,-6.93,99.9,106.8,-6.93
12,13,Marquette,BE,10-3,+22.32,115.2,92.9,70.7,-.002,+6.90,107.6,100.7,+6.90
13,14,Wisconsin,B10,9-3,+22.20,118.3,96.1,65.6,+.022,+7.98,105.8,97.8,+5.90
14,15,North Carolina,ACC,8-3,+22.12,118.5,96.4,73.2,-.077,+9.53,109.3,99.8,+10.47
15,16,Kansas,B12,11-1,+21.88,113.2,91.3,70.5,+.123,+4.24,106.4,102.2,+4.24
16,17,Creighton,BE,9-3,+21.86,116.6,94.7,68.1,-.009,+4.53,107.7,103.2,+3.39
17,18,Baylor,B12,10-2,+21.63,120.8,99.2,70.1,+.041,+0.10,104.2,104.1,+0.10
18,19,Kentucky,SEC,9-2,+20.82,117.8,97.0,73.9,-.040,+0.36,104.9,104.5,+0.36
19,20,Gonzaga,WCC,9-3,+20.68,115.7,95.1,71.2,-.036,+3.31,106.8,103.5,+3.31
20,21,Michigan St.,B10,7-5,+20.65,113.1,92.4,66.6,-.158,+4.67,108.4,103.8,+0.93
21,22,Oklahoma,B12,10-1,+20.55,112.6,92.0,69.8,+.020,-3.28,102.7,105.9,-3.28
22,23,Texas A&M,SEC,8-4,+20.13,120.0,99.8,65.2,-.047,+9.99,108.4,98.4,+9.99
23,24,Colorado,P12,9-2,+19.96,116.0,96.0,71.2,-.089,-3.03,103.6,106.6,-3.03
24,25,Villanova,BE,9-4,+19.64,113.2,93.6,65.7,-.065,+6.89,107.4,100.5,+5.85
25,26,Clemson,ACC,10-1,+19.60,115.8,96.2,68.4,+.033,+6.53,109.5,103.0,+4.96
26,27,Ohio St.,B10,10-2,+19.40,116.1,96.7,67.3,-.025,-0.97,104.8,105.7,-3.03
27,28,Colorado St.,MWC,11-1,+18.46,118.7,100.3,67.9,-.006,+4.75,107.8,103.0,+4.75
28,29,Mississippi St.,SEC,10-2,+18.04,110.2,92.2,69.2,-.050,+0.93,104.3,103.4,+0.93
29,30,San Diego St.,MWC,10-2,+18.01,112.7,94.6,68.0,+.067,+7.46,107.9,100.4,+7.46
30,31,Utah,P12,9-2,+17.78,115.2,97.4,71.3,+.048,+4.45,106.1,101.7,+4.45
31,32,Memphis,Amer,10-2,+17.40,112.6,95.1,74.0,+.109,+9.39,109.5,100.1,+9.39
32,33,Florida,SEC,9-3,+16.92,114.7,97.8,74.3,-.042,+2.75,104.7,102.0,+2.75
33,34,New Mexico,MWC,11-1,+16.53,111.8,95.3,74.6,+.096,-0.65,103.8,104.5,-0.65
34,35,Dayton,A10,9-2,+16.35,117.4,101.0,63.8,+.074,+5.47,106.8,101.3,+5.47
35,36,TCU,B12,10-2,+16.19,112.5,96.4,73.1,-.017,-6.45,100.6,107.1,-6.45
36,37,Nevada,MWC,12-1,+16.02,111.8,95.8,69.5,+.092,-0.35,103.7,104.1,-0.35
37,38,Texas,B12,9-2,+15.88,114.4,98.5,69.0,+.036,-5.32,100.8,106.1,-5.32
38,39,Virginia,ACC,9-2,+15.85,105.9,90.0,62.2,+.130,+1.76,106.2,104.4,+1.44
39,40,Cincinnati,B12,10-2,+15.36,113.1,97.8,70.2,-.002,-3.93,102.3,106.2,-3.93
40,41,Providence,BE,11-2,+15.29,107.4,92.1,70.0,+.037,-1.00,103.4,104.4,-4.10
41,42,Xavier,BE,7-6,+14.65,109.4,94.7,71.4,-.126,+5.46,107.4,101.9,+3.89
42,43,St. John's,BE,8-4,+14.54,113.0,98.4,71.0,-.034,+4.57,107.2,102.6,+1.40
43,44,Pittsburgh,ACC,9-3,+14.48,111.0,96.6,68.7,-.052,-4.49,103.0,107.5,-6.25
44,45,Texas Tech,B12,9-2,+14.37,110.8,96.4,68.2,+.040,-1.38,104.8,106.2,-1.38
45,46,USC,P12,6-5,+14.13,111.9,97.8,70.8,-.092,+5.06,106.1,101.1,+5.06
46,47,Michigan,B10,6-6,+14.03,116.1,102.1,68.6,-.141,+8.19,109.2,101.0,+7.50
47,48,Oregon,P12,8-3,+13.75,111.9,98.2,70.0,-.003,+1.77,105.5,103.7,+1.77
48,49,Virginia Tech,ACC,9-3,+13.48,111.0,97.5,68.0,+.056,-0.01,104.0,104.0,+1.01
49,50,Saint Mary's,WCC,8-6,+13.37,107.3,93.9,64.5,-.080,+6.00,107.4,101.4,+6.00
50,51,SMU,Amer,9-4,+13.32,108.5,95.2,68.5,-.103,-1.21,103.9,105.2,-1.21
51,52,San Francisco,WCC,10-4,+13.30,106.5,93.2,66.9,-.095,+0.02,103.2,103.2,+0.02
52,53,Liberty,CUSA,10-3,+13.28,113.2,100.0,64.7,+.000,+0.23,103.9,103.6,+0.23
53,54,Nebraska,B10,10-2,+13.28,113.0,99.7,68.7,+.082,-2.08,102.2,104.2,-5.80
54,55,Princeton,Ivy,11-1,+13.26,115.7,102.4,64.7,+.032,+3.13,106.0,102.9,+3.13
55,56,Northwestern,B10,9-2,+13.23,110.6,97.3,64.2,+.010,-2.83,103.0,105.8,-5.32
56,57,Iowa,B10,7-5,+13.11,116.2,103.0,73.7,-.058,+2.68,106.0,103.3,-1.85
57,58,Wake Forest,ACC,8-3,+13.02,113.7,100.6,68.4,-.114,-3.58,102.1,105.6,-3.58
58,59,Indiana St.,MVC,11-1,+13.02,113.5,100.4,73.4,+.096,-3.19,103.8,107.0,-5.36
59,60,Washington,P12,8-3,+12.97,112.2,99.2,71.9,-.006,+4.35,106.4,102.1,+4.35
60,61,Grand Canyon,WAC,10-1,+12.54,112.3,99.8,69.9,+.058,-2.59,102.3,104.9,-1.10
61,62,Utah St.,MWC,12-1,+12.49,109.8,97.3,70.0,+.079,+1.38,104.1,102.7,+1.38
